"","evolution","alpha","Vo","Ve","Gradient"
"145",145,84.839850568846,58.839850568846,33.839850568846,-0.0886045552839317
"146",146,84.840261472495,58.8402614724951,33.8402614724951,0.368641704963325
"147",147,84.8405985306452,58.8405985306452,33.8405985306452,0.743718740791491
"148",148,84.8408308816878,58.8408308816878,33.8408308816878,1.00228056175187
"149",149,84.8409420930803,58.8409420930803,33.8409420930803,1.12603806127481
"150",150,84.8409306916414,58.8409306916414,33.8409306916414,1.11335036926296
"151",151,84.8408089812951,58.8408089812951,33.8408089812951,0.97790957062188
"152",152,84.8406004339229,58.8406004339229,33.8406004339229,0.745836713047966
"153",153,84.8403360721429,58.8403360721429,33.8403360721429,0.451655545516808
"154",154,84.8400503373685,58.8400503373685,33.8400503373685,0.133693501812094
"155",155,84.8397769493737,58.8397769493737,33.8397769493737,-0.170526317651151
"156",156,84.8395452189301,58.8395452189301,33.8395452189301,-0.428388354565622
"157",157,84.8393771830619,58.8393771830619,33.8393771830619,-0.615371871448885
"158",158,84.839285807609,58.839285807609,33.839285807609,-0.717050323350046
"159",159,84.8392743609792,58.8392743609792,33.8392743609792,-0.729787590164192
"160",160,84.8393369233051,58.8393369233051,33.8393369233051,-0.660171139076946
"161",161,84.8394598721356,58.8394598721356,33.8394598721356,-0.523358950611054
"162",162,84.8396240914664,58.8396240914664,33.8396240914664,-0.340621813373519
"163",163,84.8398075932388,58.8398075932387,33.8398075932387,-0.136426676444635
"164",164,84.8399882225193,58.8399882225192,33.8399882225192,0.0645732898342512
"165",165,84.8401461378355,58.8401461378355,33.8401461378355,0.240298707981574
"166",166,84.8402658109025,58.8402658109025,33.8402658109025,0.373469441433732
"167",167,84.8403373664493,58.8403373664493,33.8403373664493,0.453095840346774
"168",168,84.8403571724129,58.8403571724129,33.8403571724129,0.475135780649816
"169",169,84.8403276822617,58.8403276822617,33.8403276822617,0.442319348173205
"170",170,84.8402566142893,58.8402566142893,33.8402566142893,0.363235543020072
"171",171,84.8401556188801,58.8401556188801,33.8401556188801,0.250849079450764
"172",172,84.8400386281498,58.8400386281497,33.8400386281497,0.120663696811009
"173",173,84.8399201002155,58.8399201002155,33.8399201002155,-0.0112317344331341
"174",174,84.8398133629688,58.8398133629687,33.8398133629687,-0.130006277288031
"175",175,84.839729232702,58.8397292327019,33.8397292327019,-0.223624032330064
"176",176,84.8396750365624,58.8396750365624,33.8396750365624,-0.283931803821811
"177",177,84.8396541112558,58.8396541112557,33.8396541112557,-0.307216801518897
"178",178,84.8396657909069,58.8396657909069,33.8396657909069,-0.294220069313257
"179",179,84.8397058413964,58.8397058413963,33.8397058413963,-0.249653160388614
"180",180,84.8397672526578,58.8397672526578,33.8397672526578,-0.181316546067765
"181",181,84.8398412685603,58.8398412685603,33.8398412685603,-0.0989536735664796
"182",182,84.839918518399,58.8399185183989,33.8399185183989,-0.0129919435110775
"183",183,84.8399901149465,58.8399901149465,33.8399901149465,0.0666791444151624
"184",184,84.8400485998903,58.8400485998903,33.8400485998903,0.131760067440625
"185",185,84.8400886451824,58.8400886451824,33.8400886451824,0.176321774440759
"186",186,84.8401074542208,58.8401074542208,33.8401074542208,0.19725216721712
"187",187,84.840104845229,58.840104845229,33.840104845229,0.194348922679002
"188",188,84.8400830361542,58.8400830361542,33.8400830361542,0.1700801414265
"189",189,84.840046181882,58.840046181882,33.840046181882,0.129069351658495
"190",190,84.8399997375592,58.8399997375591,33.8399997375591,0.0773869941984994
"191",191,84.8399497345259,58.8399497345259,33.8399497345259,0.0217446628075113
"192",192,84.8399020572994,58.8399020572993,33.8399020572993,-0.0313094713018199
"193",193,84.8398618019704,58.8398618019703,33.8398618019703,-0.0761046194454547
"194",194,84.8398327800829,58.8398327800829,33.8398327800829,-0.108399429706501
"195",195,84.8398172101083,58.8398172101083,33.8398172101083,-0.125725283989424
"196",196,84.8398156139598,58.8398156139598,33.8398156139598,-0.127501435126652
"197",197,84.8398269116082,58.8398269116081,33.8398269116081,-0.114929713614727
"198",198,84.8398486854396,58.8398486854395,33.8398486854395,-0.0907003616558899
"199",199,84.8398775696623,58.8398775696622,33.8398775696622,-0.0585587238016341
"200",200,84.8399097101774,58.8399097101773,33.8399097101773,-0.0227935283984014
"201",201,84.8399412373989,58.8399412373989,33.8399412373989,0.0122892467121194
"202",202,84.8399686982459,58.8399686982458,33.8399686982458,0.0428470833009602
"203",203,84.8399894029082,58.8399894029082,33.8399894029082,0.0658868026879784
"204",204,84.8400016554707,58.8400016554707,33.8400016554707,0.0795212080547405
"205",205,84.8400048531818,58.8400048531817,33.8400048531817,0.0830795576140712
"206",206,84.8399994551431,58.8399994551431,33.8399994551431,0.0770727272612614
"207",207,84.8399868356552,58.8399868356551,33.8399868356551,0.0630300157810819
"208",208,84.8399690489196,58.8399690489195,33.8399690489195,0.0432373056126398
"209",209,84.8399485392596,58.8399485392596,33.8399485392596,0.0204145965898032
"210",210,84.8399278340094,58.8399278340094,33.8399278340094,-0.00262574492151195
